Number of total non-combinatorial background events: 260291
Number of total combinatorial background events: 13175
Number of sig events before comb removal: 8196
Number of sig events after comb removal: 3959
Number of jpsi events before comb removal: 215166
Number of jpsi events after comb removal: 208540
Number of psi2S events before comb removal: 43783
Number of psi2S events after comb removal: 41471
Number of jpsi_mu_k_swap events before comb removal: 443
Number of jpsi_mu_k_swap events after comb removal: 174
Number of jpsi_mu_pi_swap events before comb removal: 487
Number of jpsi_mu_pi_swap events after comb removal: 366
Number of phimumu events before comb removal: 4418
Number of phimumu events after comb removal: 2157
Number of Kmumu events before comb removal: 15408
Number of Kmumu events after comb removal: 462
Number of pKmumu_piTop events before comb removal: 590
Number of pKmumu_piTop events after comb removal: 207
Number of pKmumu_piTok_kTop events before comb removal: 421
Number of pKmumu_piTok_kTop events after comb removal: 125
Number of k_pi_swap events before comb removal: 8373
Number of k_pi_swap events after comb removal: 1763
Number of Kstarp_pi0 events before comb removal: 3624
Number of Kstarp_pi0 events after comb removal: 241
Number of Jpsi_Kstarp_pi0 events before comb removal: 1628
Number of Jpsi_Kstarp_pi0 events after comb removal: 826
