Number of total non-combinatorial background events: 278105
Number of total combinatorial background events: 7638
Number of sig events before comb removal: 8196
Number of sig events after comb removal: 4700
Number of jpsi events before comb removal: 215166
Number of jpsi events after comb removal: 212592
Number of psi2S events before comb removal: 43783
Number of psi2S events after comb removal: 42215
Number of jpsi_mu_k_swap events before comb removal: 443
Number of jpsi_mu_k_swap events after comb removal: 377
Number of jpsi_mu_pi_swap events before comb removal: 487
Number of jpsi_mu_pi_swap events after comb removal: 408
Number of phimumu events before comb removal: 4418
Number of phimumu events after comb removal: 4060
Number of Kmumu events before comb removal: 15408
Number of Kmumu events after comb removal: 5120
Number of pKmumu_piTop events before comb removal: 590
Number of pKmumu_piTop events after comb removal: 357
Number of pKmumu_piTok_kTop events before comb removal: 421
Number of pKmumu_piTok_kTop events after comb removal: 278
Number of k_pi_swap events before comb removal: 8373
Number of k_pi_swap events after comb removal: 4871
Number of Kstarp_pi0 events before comb removal: 3624
Number of Kstarp_pi0 events after comb removal: 1737
Number of Jpsi_Kstarp_pi0 events before comb removal: 1628
Number of Jpsi_Kstarp_pi0 events after comb removal: 1390
